1788 481 321
311 47 -1 9
309 48 -1 9
310 48 -1 9
311 48 -1 9
312 48 -1 9
313 48 -1 9
307 49 -1 9
308 49 -1 9
309 49 -1 9
310 49 -1 9
311 49 -1 9
312 49 -1 9
313 49 -1 9
305 50 -1 9
306 50 -1 9
307 50 -1 9
308 50 -1 9
309 50 -1 9
310 50 -1 9
311 50 -1 9
312 50 -1 9
313 50 -1 9
314 50 -1 9
304 51 -1 9
305 51 -1 9
306 51 -1 9
307 51 -1 9
308 51 -1 9
309 51 -1 9
310 51 -1 9
311 51 -1 9
312 51 -1 9
313 51 -1 9
314 51 -1 9
301 52 -1 9
302 52 -1 9
303 52 -1 9
304 52 -1 9
305 52 -1 9
306 52 -1 9
307 52 -1 9
308 52 -1 9
309 52 -1 9
310 52 -1 9
311 52 -1 9
312 52 -1 9
313 52 -1 9
299 53 -1 9
300 53 -1 9
301 53 -1 9
302 53 -1 9
303 53 -1 9
304 53 -1 9
305 53 -1 9
306 53 -1 9
307 53 -1 9
308 53 -1 9
309 53 -1 9
310 53 -1 9
311 53 -1 9
312 53 -1 9
313 53 -1 9
298 54 -1 9
299 54 -1 9
300 54 -1 9
301 54 -1 9
302 54 -1 9
303 54 -1 9
304 54 -1 9
305 54 -1 9
306 54 -1 9
307 54 -1 9
308 54 -1 9
309 54 -1 9
310 54 -1 9
311 54 -1 9
297 55 -1 9
298 55 -1 9
299 55 -1 9
300 55 -1 9
301 55 -1 9
302 55 -1 9
303 55 -1 9
304 55 -1 9
305 55 -1 9
306 55 -1 9
307 55 -1 9
308 55 -1 9
309 55 -1 9
295 56 -1 9
296 56 -1 9
297 56 -1 9
298 56 -1 9
299 56 -1 9
300 56 -1 9
301 56 -1 9
302 56 -1 9
303 56 -1 9
304 56 -1 9
305 56 -1 9
306 56 -1 9
307 56 -1 9
293 57 -1 9
294 57 -1 9
295 57 -1 9
296 57 -1 9
297 57 -1 9
298 57 -1 9
299 57 -1 9
300 57 -1 9
301 57 -1 9
302 57 -1 9
303 57 -1 9
304 57 -1 9
305 57 -1 9
306 57 -1 9
292 58 -1 9
293 58 -1 9
294 58 -1 9
295 58 -1 9
296 58 -1 9
297 58 -1 9
298 58 -1 9
299 58 -1 9
300 58 -1 9
301 58 -1 9
302 58 -1 9
303 58 -1 9
304 58 -1 9
290 59 -1 9
291 59 -1 9
292 59 -1 9
293 59 -1 9
294 59 -1 9
295 59 -1 9
296 59 -1 9
297 59 -1 9
298 59 -1 9
299 59 -1 9
300 59 -1 9
301 59 -1 9
288 60 -1 9
289 60 -1 9
290 60 -1 9
291 60 -1 9
292 60 -1 9
293 60 -1 9
294 60 -1 9
295 60 -1 9
296 60 -1 9
297 60 -1 9
298 60 -1 9
299 60 -1 9
300 60 -1 9
287 61 -1 9
288 61 -1 9
289 61 -1 9
290 61 -1 9
291 61 -1 9
292 61 -1 9
293 61 -1 9
294 61 -1 9
295 61 -1 9
296 61 -1 9
297 61 -1 9
298 61 -1 9
285 62 -1 9
286 62 -1 9
287 62 -1 9
288 62 -1 9
289 62 -1 9
290 62 -1 9
291 62 -1 9
292 62 -1 9
293 62 -1 9
294 62 -1 9
295 62 -1 9
296 62 -1 9
283 63 -1 9
284 63 -1 9
285 63 -1 9
286 63 -1 9
287 63 -1 9
288 63 -1 9
289 63 -1 9
290 63 -1 9
291 63 -1 9
292 63 -1 9
293 63 -1 9
294 63 -1 9
295 63 -1 9
281 64 -1 9
282 64 -1 9
283 64 -1 9
284 64 -1 9
285 64 -1 9
286 64 -1 9
287 64 -1 9
288 64 -1 9
289 64 -1 9
290 64 -1 9
291 64 -1 9
292 64 -1 9
293 64 -1 9
280 65 -1 9
281 65 -1 9
282 65 -1 9
283 65 -1 9
284 65 -1 9
285 65 -1 9
286 65 -1 9
287 65 -1 9
288 65 -1 9
289 65 -1 9
290 65 -1 9
291 65 -1 9
279 66 -1 9
280 66 -1 9
281 66 -1 9
282 66 -1 9
283 66 -1 9
284 66 -1 9
285 66 -1 9
286 66 -1 9
287 66 -1 9
288 66 -1 9
289 66 -1 9
290 66 -1 9
291 66 -1 9
279 67 -1 9
280 67 -1 9
281 67 -1 9
282 67 -1 9
283 67 -1 9
284 67 -1 9
285 67 -1 9
286 67 -1 9
287 67 -1 9
288 67 -1 9
289 67 -1 9
278 68 -1 9
279 68 -1 9
280 68 -1 9
281 68 -1 9
282 68 -1 9
283 68 -1 9
284 68 -1 9
285 68 -1 9
286 68 -1 9
287 68 -1 9
279 69 -1 9
280 69 -1 9
281 69 -1 9
282 69 -1 9
283 69 -1 9
284 69 -1 9
285 69 -1 9
279 70 -1 9
280 70 -1 9
281 70 -1 9
282 70 -1 9
283 70 -1 9
284 70 -1 9
281 71 -1 9
282 71 -1 9
164 92 -1 1
165 92 -1 1
166 92 -1 1
167 92 -1 1
168 92 -1 1
163 93 -1 1
164 93 -1 1
165 93 -1 1
166 93 -1 1
167 93 -1 1
168 93 -1 1
169 93 -1 1
162 94 -1 1
163 94 -1 1
164 94 -1 1
165 94 -1 1
166 94 -1 1
167 94 -1 1
168 94 -1 1
169 94 -1 1
170 94 -1 1
161 95 -1 1
162 95 -1 1
163 95 -1 1
164 95 -1 1
165 95 -1 1
166 95 -1 1
167 95 -1 1
168 95 -1 1
169 95 -1 1
170 95 -1 1
171 95 -1 1
161 96 -1 1
